CONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
100c33e1fb8e   clab-network-Client21-WAN            0.00%     1.609MiB / 9.725GiB   0.02%     41.6kB / 946B     0B / 4.1kB       2
7ee5c897c86e   clab-network-Server1-nginx-LAN       0.00%     3.52MiB / 9.725GiB    0.04%     66.5kB / 946B     0B / 8.19kB      4
3635a377dd5b   clab-network-Client29-WAN            0.00%     1.586MiB / 9.725GiB   0.02%     52.6kB / 1.09kB   0B / 4.1kB       2
b35aa80e2621   clab-network-Client18-LAN            0.00%     1.598MiB / 9.725GiB   0.02%     36.9kB / 946B     0B / 4.1kB       2
9858bd660d82   clab-network-Client20-LAN            0.00%     1.582MiB / 9.725GiB   0.02%     61.2kB / 946B     0B / 4.1kB       2
c4db4f405ed6   clab-network-Server2-ubuntu-WAN      0.00%     1000KiB / 9.725GiB    0.01%     62.1kB / 946B     0B / 0B          1
24de5443db03   clab-network-Client38-WAN            0.00%     1.59MiB / 9.725GiB    0.02%     61kB / 946B       0B / 4.1kB       2
c9c99fc318da   clab-network-Client15-WAN            0.00%     1.594MiB / 9.725GiB   0.02%     40.4kB / 946B     0B / 4.1kB       2
caf75c377e63   clab-network-Client17-WAN            0.00%     1.59MiB / 9.725GiB    0.02%     44kB / 1.09kB     0B / 4.1kB       2
3e1714c389bc   clab-network-Client25-LAN            0.00%     1.617MiB / 9.725GiB   0.02%     36.6kB / 946B     0B / 4.1kB       2
2cbc623b7b3e   clab-network-br-Internet            0.00%     1.609MiB / 9.725GiB   0.02%     37.2kB / 946B     0B / 4.1kB       2
11e1d34df820   clab-network-Client22-WAN            0.00%     1.609MiB / 9.725GiB   0.02%     45.9kB / 1.09kB   0B / 4.1kB       2
147f8f5b7da2   clab-network-Client2-LAN             0.00%     1.594MiB / 9.725GiB   0.02%     45.9kB / 1.09kB   0B / 4.1kB       2
3b8d58bad2e3   clab-network-Client1-WAN             0.00%     1.598MiB / 9.725GiB   0.02%     36.3kB / 946B     0B / 4.1kB       2
8e21bf54c685   clab-network-Client41-LAN            0.00%     1.605MiB / 9.725GiB   0.02%     37.5kB / 946B     0B / 4.1kB       2
ade9d7c9612c   clab-network-router-WAN             0.00%     14.67MiB / 9.725GiB   0.15%     67kB / 946B       0B / 0B          15
bf61405bf244   clab-network-Client30-WAN            0.00%     1.586MiB / 9.725GiB   0.02%     67.7kB / 946B     0B / 4.1kB       2
6efdd8709db2   clab-network-Client31-WAN            0.00%     1.613MiB / 9.725GiB   0.02%     37.8kB / 946B     0B / 4.1kB       2
28677b2aaa46   clab-network-Client16-WAN            0.00%     1.594MiB / 9.725GiB   0.02%     52.6kB / 1.09kB   0B / 4.1kB       2
20484000787f   clab-network-Client17-LAN            0.00%     1.605MiB / 9.725GiB   0.02%     52.7kB / 1.09kB   0B / 4.1kB       2
1efe77c1e9a2   clab-network-Client13-LAN            0.00%     1.621MiB / 9.725GiB   0.02%     66.1kB / 946B     0B / 4.1kB       2
793a93d95107   clab-network-Client16-LAN            0.00%     1.59MiB / 9.725GiB    0.02%     71kB / 946B       0B / 4.1kB       2
0b7bb8320200   clab-network-Client28-WAN            0.00%     1.605MiB / 9.725GiB   0.02%     36.1kB / 946B     0B / 4.1kB       2
67d088241375   clab-network-Client46-LAN            0.00%     1.605MiB / 9.725GiB   0.02%     36.3kB / 946B     0B / 4.1kB       2
129ebb13bc52   clab-network-Client38-LAN            0.00%     1.59MiB / 9.725GiB    0.02%     68.2kB / 946B     0B / 4.1kB       2
42066513c764   clab-network-Client48-LAN            0.00%     1.586MiB / 9.725GiB   0.02%     74.1kB / 946B     0B / 4.1kB       2
397b1b23db3a   clab-network-Client11-WAN            0.00%     1.598MiB / 9.725GiB   0.02%     74.8kB / 946B     0B / 4.1kB       2
e6b682a25a40   clab-network-Client2-WAN             0.00%     1.605MiB / 9.725GiB   0.02%     79.6kB / 946B     0B / 4.1kB       2
d2767546d023   clab-network-Client44-LAN            0.00%     1.602MiB / 9.725GiB   0.02%     52.7kB / 1.09kB   0B / 4.1kB       2
57e74faff2cd   clab-network-Server2-ubuntu-LAN      0.00%     1004KiB / 9.725GiB    0.01%     73.1kB / 946B     0B / 0B          1
6409120784fa   clab-network-Client8-LAN             0.00%     1.609MiB / 9.725GiB   0.02%     36kB / 946B       0B / 4.1kB       2
081ea3319ae1   clab-network-Client21-LAN            0.00%     1.586MiB / 9.725GiB   0.02%     75.3kB / 1.02kB   0B / 4.1kB       2
1918d5648a11   clab-network-Client28-LAN            0.00%     1.602MiB / 9.725GiB   0.02%     84.4kB / 946B     0B / 4.1kB       2
3bc41c472bb4   clab-network-Client11-LAN            0.00%     1.59MiB / 9.725GiB    0.02%     87.5kB / 946B     0B / 4.1kB       2
bf8aa6820672   clab-network-br-LAN1                 0.00%     1.594MiB / 9.725GiB   0.02%     64.2kB / 946B     0B / 4.1kB       2
3f3c32b8f209   clab-network-Standalone-Client-LAN   0.00%     1.613MiB / 9.725GiB   0.02%     81.7kB / 946B     0B / 4.1kB       2
ea0c01d4cc1b   clab-network-Client33-WAN            0.00%     1.602MiB / 9.725GiB   0.02%     70.1kB / 946B     0B / 4.1kB       2
24b68f019ecc   clab-network-Client13-WAN            0.00%     1.594MiB / 9.725GiB   0.02%     52.7kB / 1.18kB   0B / 4.1kB       2
e9b59a363e31   clab-network-Client36-WAN            0.00%     1.598MiB / 9.725GiB   0.02%     92.8kB / 946B     0B / 4.1kB       2
df19846654cd   clab-network-Client23-WAN            0.00%     1.59MiB / 9.725GiB    0.02%     49.9kB / 1.09kB   0B / 4.1kB       2
b3e4fa19ce00   clab-network-Client4-WAN             0.00%     1.598MiB / 9.725GiB   0.02%     83.2kB / 946B     0B / 4.1kB       2
7844e87cd3cf   clab-network-Client43-LAN            0.00%     1.598MiB / 9.725GiB   0.02%     64.5kB / 946B     0B / 4.1kB       2
d432704aee65   clab-network-Client29-LAN            0.00%     1.59MiB / 9.725GiB    0.02%     80kB / 946B       0B / 4.1kB       2
fd03deb1975a   clab-network-Client31-LAN            0.00%     1.605MiB / 9.725GiB   0.02%     86kB / 1.02kB     0B / 4.1kB       2
221c5cba1105   clab-network-Client14-WAN            0.00%     1.594MiB / 9.725GiB   0.02%     72.5kB / 946B     0B / 4.1kB       2
5bf926200fb6   clab-network-Client45-LAN            0.00%     1.598MiB / 9.725GiB   0.02%     53.8kB / 1.09kB   0B / 4.1kB       2
8d3c8ad086a4   clab-network-Client7-LAN             0.00%     1.598MiB / 9.725GiB   0.02%     49.8kB / 1.09kB   0B / 4.1kB       2
527a3fa84f37   clab-network-Client26-LAN            0.00%     1.613MiB / 9.725GiB   0.02%     79.3kB / 946B     0B / 4.1kB       2
dacd7e64e7de   clab-network-Client24-LAN            0.00%     1.586MiB / 9.725GiB   0.02%     99.7kB / 946B     0B / 4.1kB       2
f09eb0296ab2   clab-network-Client42-LAN            0.00%     1.605MiB / 9.725GiB   0.02%     62.2kB / 946B     0B / 4.1kB       2
6256cbb16c05   clab-network-Client32-WAN            0.00%     1.602MiB / 9.725GiB   0.02%     49.8kB / 1.09kB   0B / 4.1kB       2
b20a945a9b80   clab-network-Client33-LAN            0.00%     1.586MiB / 9.725GiB   0.02%     44kB / 1.09kB     0B / 4.1kB       2
ec5a0658316b   clab-network-Client5-WAN             0.00%     1.594MiB / 9.725GiB   0.02%     82.1kB / 946B     0B / 4.1kB       2
a4618af6469e   clab-network-Client37-LAN            0.00%     1.613MiB / 9.725GiB   0.02%     88.4kB / 946B     0B / 4.1kB       2
6c7efd9ba81f   clab-network-Client14-LAN            0.00%     1.59MiB / 9.725GiB    0.02%     52.7kB / 1.09kB   0B / 4.1kB       2
26e882345002   clab-network-router-LAN1             0.07%     13.78MiB / 9.725GiB   0.14%     88.6kB / 946B     0B / 0B          13
160e19a5c0bf   clab-network-Client20-WAN            0.00%     1.586MiB / 9.725GiB   0.02%     92.2kB / 946B     0B / 4.1kB       2
bd7277ffdea3   clab-network-Client9-LAN             0.00%     1.59MiB / 9.725GiB    0.02%     62.1kB / 946B     0B / 4.1kB       2
c047d4fe5931   clab-network-Client23-LAN            0.00%     1.598MiB / 9.725GiB   0.02%     54.9kB / 946B     0B / 4.1kB       2
a00a29ff6bc8   clab-network-Client34-WAN            0.00%     1.609MiB / 9.725GiB   0.02%     66.6kB / 946B     0B / 4.1kB       2
b7341ef9c859   clab-network-Client12-WAN            0.00%     1.602MiB / 9.725GiB   0.02%     91.7kB / 946B     0B / 4.1kB       2
7b480a49551f   clab-network-Client3-LAN             0.00%     1.582MiB / 9.725GiB   0.02%     71.3kB / 946B     0B / 4.1kB       2
d8a0246073b4   clab-network-Client36-LAN            0.00%     1.582MiB / 9.725GiB   0.02%     42.6kB / 1.02kB   0B / 4.1kB       2
3b7a08dbe537   clab-network-Client25-WAN            0.00%     1.598MiB / 9.725GiB   0.02%     77.6kB / 946B     0B / 4.1kB       2
8cf017ac2df3   clab-network-Client10-WAN            0.00%     1.602MiB / 9.725GiB   0.02%     65kB / 946B       0B / 4.1kB       2
b971995e1cdb   clab-network-Client26-WAN            0.00%     1.594MiB / 9.725GiB   0.02%     44kB / 1.04kB     0B / 4.1kB       2
94d0f4a50158   clab-network-Client50-LAN            0.00%     1.59MiB / 9.725GiB    0.02%     49.9kB / 1.09kB   0B / 4.1kB       2
314c37f72d4f   clab-network-Client5-LAN             0.00%     1.598MiB / 9.725GiB   0.02%     79.6kB / 946B     0B / 4.1kB       2
9d2bcd066128   clab-network-Client47-LAN            0.00%     1.602MiB / 9.725GiB   0.02%     80.1kB / 946B     0B / 4.1kB       2
8b09614aecd5   clab-network-Client18-WAN            0.00%     1.586MiB / 9.725GiB   0.02%     78.4kB / 946B     0B / 4.1kB       2
29679e75e3c4   clab-network-Client3-WAN             0.00%     1.594MiB / 9.725GiB   0.02%     61.7kB / 946B     0B / 4.1kB       2
d3ab0a97952e   clab-network-Server1-nginx-WAN       0.00%     3.5MiB / 9.725GiB     0.04%     40kB / 946B       0B / 8.19kB      4
